website,encode,bookTitle,chapterTitle,chapterText,next,callback,webDriver,siteNote
www.51shucheng.net,utf-8,BookHome,Null,neirong,BookNext,False,True,無憂書城
www.sto.cx,utf-8,Null,Null,BookContent,Null,False,True,思兔
www.mbtxt.la,gbk,linkIndex,Null,readcontent,linkNext,False,False,妙筆文學
www.twfanti.com,utf-8,Null,Null,pt-read-text,pt-nextchapter,False,False,
www.banxia.co,big5-hkscs,Null,Null,nr1,next,False,False,
ck101.org,big5-hkscs,_52mb_h1,nr_title,nr1,pb_next,False,False,卡提諾小說網
aixdzs.com,utf-8,Null,name,content,Null,True,False,
wfxs.org,big5-hkscs,_52mb_h1,nr_title,nr1,pb_next,False,False,
mzsw.org,big5-hkscs,_52mb_h1,nr_title,nr1,pb_next,False,False,
shubaow.net,gbk,Null,Null,novelcontent,p4,True,False,
feiyue988.com,utf-8,Null,Null,booktxt,next_url,False,False,
sto.ist,utf-8,Null,Null,article,next_url,False,False,
lanrenyuhai.com,gbk,Null,title,readcontent,linkNext,False,False,舊時光文學館
m.piaotian5.com,Null,Null,title,chaptercontent,pb_next,False,False,飄天文學網
m.piaotian5.net,Null,Null,title,chaptercontent,pb_next,False,False,飄天文學網
www.twpiaotians.com,utf-8,Null,Null,pt-read-text,pt-nextchapter,False,False,飄天文學網
www.ptwxz.com,Null,__WebInspectorHideElement__,Null,content,Null,False,True,飄天文學
m.free-xsw.com,utf-8,Null,Null,content,Null,False,False,茄子小說網(會一直有重複的最新章節)
www.919yq.com,utf-8,Null,Null,readcotent,Null,False,False,919言情小說
m.lianzais.com,gbk,_56_h1,nr_title,nr1,pb_next,False,False,
m.clewx.com,utf-8,Null,top_center,content,Null,False,False,
biqubu.com,gbk,_bqgmb_h1,nr_title,nr1,Null,False,False,
m.yuzhaiwu.co,utf-8,Null,nr_title,nr1,pt_next,False,False,
m.sxy8888.com,utf-8,ptm-title,title,BookText,Null,False,False,
www.20dcr.com,utf-8,Null,cont-title,cont-text,Null,False,False,
big5.quanben5.com,utf-8,Null,Null,content,Null,True,False,
www.uukanshu.com,gbk,Null,timu,contentbox,next,True,False,
jjwxc.net,gbk,Null,Null,Null,Null,False,False,
www.fantinovels.com,utf-8,Null,Null,pt-read-text,pt-nextchapter,False,False,
www.fantitxt.com,utf-8,Null,Null,pt-read-text,pt-nextchapter,False,False,繁體電子小說網
m.stu.la,big5-hkscs,Null,Null,nr,Null,False,False,
xs8.org,big5-hkscs,Null,readTitle,htmlContent,linkNext,False,False,繁體小說吧
m.yushubo.com,utf-8,icon-shuming,Null,chapterContent,next,False,True,御書網
Null,Null,Null,Null,Null,Null,False,True,初始設定